stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
M5-L2_C1_5_L1_4-int,4.250495054311506,5.674036825547115,2.140137090539571,1.450902008503653,1.889297149886615,1.9839313579078093
M5-L2_C1_5_L1_4-int-dur,4.250495054311506,5.674036825547115,2.140137090539571,1.479109490346809,2.1640182386473312,2.030868187357612
M5-L2_C1_5_L1_4-int-rate,5.776173285198556,5.959182020498071,1.954480283717623,1.4509020085036535,1.8892971498866147,1.9839313579078088
M5-L2_C1_5_L1_4-int-dur-rate,5.776173285198556,6.018403486732558,1.9494613570043058,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_C1_5_L1_4-dur,4.250495054311506,5.423144775855478,1.4483706858209318,1.479109490346809,2.1640182386473312,2.030868187357612
M5-L2_C1_5_L1_4-dur-rate,5.776173285198556,5.511014754317813,1.4560157144858918,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_C1_5_L1_4-rate,5.776173285198556,5.515917591857559,1.4244399801018488,1.4509020085036535,1.8892971498866147,1.9839313579078088
M5-L1_4,5.776173285198556,4.97377198232849,1.964025643217211,1.479109490346809,2.1640182386473317,2.0308681873576124
M7-L2_B1_4_B1_5-int-dur-rate,3.839933476386756,5.791399582534073,1.143809869243677,1.7060056567485,1.3926981958329612,1.370147252733563
M7-L2_B1_4_L1_4-int,4.147312820268542,6.088597029496744,2.3003436938470476,1.5419752131296172,1.2829466729287717,1.2848409085644272
M7-L2_B1_4_L1_4-int-dur,4.147312820268543,6.088597029496744,2.3003436938470476,1.4812420047372337,1.0017603829305557,1.312803836907815
M7-L2_B1_4_L1_4-int-rate,5.812371878514271,6.369912486740776,2.080023906985454,1.5419752131296172,1.2829466729287722,1.2848409085644275
M7-L2_B1_4_L1_4-int-dur-rate,5.812371878514271,6.369912486740776,2.080023906985454,1.4812420047372339,1.001760382930556,1.312803836907815
M7-L2_B1_4_L1_4-dur,4.147312820268543,6.00483209001848,1.5111500182255502,1.4812420047372337,1.0017603829305557,1.312803836907815
M7-L2_B1_4_L1_4-dur-rate,5.812371878514271,6.1914705732933335,1.0211248712720173,1.4812420047372339,1.001760382930556,1.312803836907815
M7-L2_B1_4_L1_4-rate,5.812371878514271,6.1914705732933335,1.0211248712720173,1.5419752131296172,1.2829466729287722,1.2848409085644275
M7-L2_C1_4_C1_5-int-dur-rate,4.57119636806507,5.951587272743405,1.3522161189110549,1.3872765813345447,1.0304764218252533,1.1843679184466358
